,min,overall_average,active_average,overall_average_last_year,active_average_last_year,non_zero,max_last_year,max,min_last_year,total_sum_last_year,total_sum_last_year_absolute,non_zero_last_year,total_sum,total_sum_absolute,k_value,var_names
ooh_spends_in_cr_competitor_honda_livo_adstock_1,0.5000014277729977,0.5380017043414498,0.5380017043414498,0.502258958768048,0.502258958768048,33,0.5178868623996925,0.9959074774269401,0.5000014277729977,6.027107505216577,0.07046084230939176,12,17.754056243267843,5.607867890564613,0.6496442431323258,ooh_spends_in_cr_competitor_honda_livo_adstock_1
ooh_spends_in_cr_competitor_bajaj_platina_adstock_1,0.5,0.5373015552472361,0.6538689153948489,0.6025792769298992,0.6538689153948488,8,0.9815600552157854,0.9815600552157854,0.5,7.2309513231587905,0.4335507018906064,8,17.73095132315879,0.4335507018906064,0.04802362244313952,ooh_spends_in_cr_competitor_bajaj_platina_adstock_1
ooh_spends_in_cr_competitor_tvs_radeon_adstock_1,0.5,0.5877385908164104,0.8217081663268383,0.7412811247451289,0.8217081663268385,9,0.9999999999997995,0.9999999999997995,0.5,8.895373496941547,1.553563428978715,9,19.395373496941545,1.553563428978715,0.16035153523945422,ooh_spends_in_cr_competitor_tvs_radeon_adstock_1
ooh_spends_in_cr_competitor_tvs_radeon_adstock_1,0.5,0.5877385908164104,0.8217081663268383,0.7412811247451289,0.8217081663268385,9,0.9999999999997995,0.9999999999997995,0.5,8.895373496941547,1.553563428978715,9,19.395373496941545,1.553563428978715,0.16035153523945422,ooh_spends_in_cr_competitor_tvs_radeon_adstock_1
ooh_spends_in_cr_competitor_tvs_star_adstock_1,0.5000265797521106,0.818292840417814,0.818292840417814,0.8228666650755131,0.8228666650755131,33,0.9999999999877622,0.9999999999999905,0.5142235379147978,9.874399980906157,0.5530205436177923,12,27.003663733787864,1.8443981217257204,0.09932781517123615,ooh_spends_in_cr_competitor_tvs_star_adstock_1
ooh_spends_in_cr_competitor_tvs_star_adstock_1,0.5000265797521106,0.818292840417814,0.818292840417814,0.8228666650755131,0.8228666650755131,33,0.9999999999877622,0.9999999999999905,0.5142235379147978,9.874399980906157,0.5530205436177923,12,27.003663733787864,1.8443981217257204,0.09932781517123615,ooh_spends_in_cr_competitor_tvs_star_adstock_1
ooh_spends_in_cr_competitor_tvs_victor_adstock_1,0.5000000234987684,0.6607039860959304,0.6607039860959304,0.5711687642062158,0.5711687642062158,33,0.9980781113494305,0.9999999944506348,0.5000000234987684,6.854025170474589,0.4165906677535306,12,21.803231541165704,3.3258399996711496,0.22908254929462096,ooh_spends_in_cr_competitor_tvs_victor_adstock_1
ooh_spends_in_cr_competitor_tvs_victor_adstock_1,0.5000000234987684,0.6607039860959304,0.6607039860959304,0.5711687642062158,0.5711687642062158,33,0.9980781113494305,0.9999999944506348,0.5000000234987684,6.854025170474589,0.4165906677535306,12,21.803231541165704,3.3258399996711496,0.22908254929462096,ooh_spends_in_cr_competitor_tvs_victor_adstock_1
competition_sales_tvs_victor_adstock_1,0.5453478722725582,0.6969358467920695,0.6969358467920695,0.6116107354561358,0.6116107354561358,33,0.6575496071184928,0.8703317460792923,0.5453478722725582,7.339328825473629,52766.061313133316,12,22.998882944138295,277932.2346735612,9634.763925895766,competition_sales_tvs_victor_adstock_1
competition_sales_tvs_star_adstock_1,0.5436736516082856,0.7094122079446997,0.7094122079446997,0.6376668017323693,0.6376668017323693,33,0.6878872921892537,0.8363813361081833,0.5436736516082856,7.6520016207884325,209101.49361609222,12,23.41060286217509,929270.9510479785,30648.08564720601,competition_sales_tvs_star_adstock_1
